,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
105,89,201807ウィンブルドン,ニック・キリオス,3.0,6,霧,×,1,c,207,Ac,0,15,Ad,0,1
106,90,201807ウィンブルドン,ニック・キリオス,3.0,6,霧,×,1,c,217,Ac,0,30,Deuce,0,1
107,91,201807ウィンブルドン,ニック・キリオス,3.0,6,霧,×,1,w,189,Aw,0,40,Ad,0,1
108,122,201807ウィンブルドン,ニック・キリオス,3.0,7,圭,×,2,c,154,,0,0,Deuce,0,1
109,123,201807ウィンブルドン,ニック・キリオス,3.0,7,圭,○,2,w,148,,0,15,Ad,1,0
110,124,201807ウィンブルドン,ニック・キリオス,3.0,7,圭,○,1,w,160,,15,15,Deuce,1,0
111,125,201807ウィンブルドン,ニック・キリオス,3.0,7,圭,○,2,w,143,,30,15,Ad,1,0
112,126,201807ウィンブルドン,ニック・キリオス,3.0,7,圭,○,1,b,178,,40,15,Deuce,1,0
113,162,201807ウィンブルドン,ニック・キリオス,3.0,8,霧,×,2,c,191,,0,0,Deuce,0,1
114,163,201807ウィンブルドン,ニック・キリオス,3.0,8,霧,×,1,c,209,,0,15,Ad,0,1
115,164,201807ウィンブルドン,ニック・キリオス,3.0,8,霧,×,1,w,181,,0,30,Deuce,0,1
116,165,201807ウィンブルドン,ニック・キリオス,3.0,8,霧,×,1,w,,,0,40,Ad,0,1
117,205,201807ウィンブルドン,ニック・キリオス,3.0,9,圭,○,1,w,165,,0,0,Deuce,1,0
118,206,201807ウィンブルドン,ニック・キリオス,3.0,9,圭,○,2,w,144,,15,0,Ad,1,0
119,207,201807ウィンブルドン,ニック・キリオス,3.0,9,圭,○,2,b,151,,30,0,Deuce,1,0
120,208,201807ウィンブルドン,ニック・キリオス,3.0,9,圭,○,2,b,146,,40,0,Ad,1,0
121,252,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,○,2,b,191,,0,0,Deuce,1,0
122,253,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,○,1,w,205,,15,0,Ad,1,0
123,254,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,○,1,c,202,,30,0,Deuce,1,0
124,255,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,×,2,b,164,,40,0,Ad,0,1
125,256,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,×,1,w,186,,40,15,Deuce,0,1
126,257,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,×,2,w,154,,40,30,Ad,0,1
127,258,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,○,1,w,180,,40,40,Deuce,1,0
128,259,201807ウィンブルドン,ニック・キリオス,3.0,10,霧,○,1,w,207,,Ad,40,Ad,1,0
129,0,201807ウィンブルドン,ニック・キリオス,1.0,1,圭,○,1,c,185,,0,0,Deuce,1,0
130,1,201807ウィンブルドン,ニック・キリオス,1.0,1,圭,○,1,w,172,,15,0,Ad,1,0
131,2,201807ウィンブルドン,ニック・キリオス,1.0,1,圭,○,1,c,189,Ac,30,0,Deuce,1,0
132,3,201807ウィンブルドン,ニック・キリオス,1.0,1,圭,×,1,w,177,,40,0,Ad,0,1
