,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
96,181,201904バルセロナ,ダニール・メドベージェフ,2.0,7,圭,○,2,c,141,,30,30,Deuce,1,0
97,182,201904バルセロナ,ダニール・メドベージェフ,2.0,7,圭,○,1,w,166,,40,30,Ad,1,0
98,227,201904バルセロナ,ダニール・メドベージェフ,2.0,8,芽,○,1,c,192,,0,0,Deuce,1,0
99,228,201904バルセロナ,ダニール・メドベージェフ,2.0,8,芽,○,1,c,188,,15,0,Ad,1,0
100,229,201904バルセロナ,ダニール・メドベージェフ,2.0,8,芽,×,1,w,,,30,0,Deuce,0,1
101,230,201904バルセロナ,ダニール・メドベージェフ,2.0,8,芽,○,2,c,152,,30,15,Ad,1,0
102,231,201904バルセロナ,ダニール・メドベージェフ,2.0,8,芽,×,1,c,,,40,15,Deuce,0,1
103,232,201904バルセロナ,ダニール・メドベージェフ,2.0,8,芽,○,2,w,122,,40,30,Ad,1,0
104,283,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,×,1,w,158,,0,0,Deuce,0,1
105,284,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,○,1,w,180,,0,15,Ad,1,0
106,285,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,×,1,c,,,15,15,Deuce,0,1
107,286,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,○,2,b,145,,15,30,Ad,1,0
108,287,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,○,1,w,124,,30,30,Deuce,1,0
109,288,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,×,1,w,172,,40,30,Ad,0,1
110,289,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,○,1,w,175,,40,40,Deuce,1,0
111,290,201904バルセロナ,ダニール・メドベージェフ,2.0,9,圭,○,1,w,167,,Ad,40,Ad,1,0
112,0,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,×,1,w,,,0,0,Deuce,0,1
113,1,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,○,2,b,120,,0,15,Ad,1,0
114,2,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,×,1,w,186,,15,15,Deuce,0,1
115,3,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,○,1,c,226,,15,30,Ad,1,0
116,4,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,○,1,w,,,30,30,Deuce,1,0
117,5,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,○,2,w,143,,40,30,Ad,1,0
118,7,201904バルセロナ,ダニール・メドベージェフ,3.0,1,芽,○,2,b,120,,Ad,40,Ad,1,0
119,12,201904バルセロナ,ダニール・メドベージェフ,3.0,2,圭,○,1,c,178,,0,0,Deuce,1,0
120,13,201904バルセロナ,ダニール・メドベージェフ,3.0,2,圭,○,1,w,138,,15,0,Ad,1,0
121,14,201904バルセロナ,ダニール・メドベージェフ,3.0,2,圭,○,1,c,,,30,0,Deuce,1,0
122,15,201904バルセロナ,ダニール・メドベージェフ,3.0,2,圭,×,2,w,145,,40,0,Ad,0,1
123,16,201904バルセロナ,ダニール・メドベージェフ,3.0,2,圭,○,1,w,143,,40,15,Deuce,1,0
